FirstName	LastName	GenderAsString	CantonAbbreviation	CouncilName	PartyAbbreviation	DateJoining	DateOfBirth
Jean-Luc	Addor	m	VS	Nationalrat	SVP	02.12.2019	22.04.1964
Andreas	Aebi	m	BE	Nationalrat	SVP	02.12.2019	26.11.1958
Matthias	Aebischer	m	BE	Nationalrat	SP	02.12.2019	18.10.1967
Thomas	Aeschi	m	ZG	Nationalrat	SVP	02.12.2019	13.01.1979
Céline	Amaudruz	f	GE	Nationalrat	SVP	02.12.2019	15.03.1979
Viola	Amherd	f	VS	Bundesrat	CVP	01.01.2019	07.06.1962
Gerhard	Andrey	m	FR	Nationalrat	GPS	02.12.2019	21.01.1976
Sibel	Arslan	f	BS	Nationalrat	BastA	02.12.2019	23.06.1980
Mustafa	Atici	m	BS	Nationalrat	SP	02.12.2019	02.10.1969
Christine	Badertscher	f	BE	Nationalrat	GPS	02.12.2019	11.01.1982
Jacqueline	Badran	f	ZH	Nationalrat	SP	02.12.2019	12.11.1961
Angelo	Barrile	m	ZH	Nationalrat	SP	02.12.2019	22.08.1976
Philippe	Bauer	m	NE	Ständerat	FDP-Liberale	02.12.2019	09.04.1962
Kilian	Baumann	m	BE	Nationalrat	GPS	02.12.2019	14.12.1980
Elisabeth	Baume-Schneider	f	JU	Ständerat	SP	02.12.2019	24.12.1963
Martin	Bäumle	m	ZH	Nationalrat	glp	02.12.2019	03.06.1964
Judith	Bellaïche	f	ZH	Nationalrat	glp	02.12.2019	02.02.1971
Samuel	Bendahan	m	VD	Nationalrat	SP	02.12.2019	11.06.1980
Alain	Berset	m	FR	Bundesrat	SP	01.01.2012	09.04.1972
Alain	Berset	m	FR	Bundesrat	SP	01.01.2017	09.04.1972
Alain	Berset	m	FR	Bundesrat	SP	01.01.2018	09.04.1972
Alain	Berset	m	FR	Bundesrat	SP	01.01.2019	09.04.1972
Kathrin	Bertschy	f	BE	Nationalrat	glp	02.12.2019	02.07.1979
Marianne	Binder-Keller	f	AG	Nationalrat	CVP	02.12.2019	15.06.1958
Martina	Bircher	f	AG	Nationalrat	SVP	02.12.2019	13.04.1984
Prisca	Birrer-Heimo	f	LU	Nationalrat	SP	02.12.2019	04.02.1959
Pirmin	Bischof	m	SO	Ständerat	CVP	02.12.2019	24.02.1959
Frédéric	Borloz	m	VD	Nationalrat	FDP-Liberale	02.12.2019	22.04.1966
Jacques	Bourgeois	m	FR	Nationalrat	FDP-Liberale	02.12.2019	14.03.1958
Philipp Matthias	Bregy	m	VS	Nationalrat	CVP	02.12.2019	07.07.1978
Daniel	Brélaz	m	VD	Nationalrat	GPS	02.12.2019	04.01.1950
Florence	Brenzikofer	f	BL	Nationalrat	GPS	09.12.2019	15.04.1975
